doy,year,tmax,tmin
14,2007,5.326364994,-7.459208965
14,2008,3.493708372,-3.936907053
14,2009,-0.438442469,-7.399662018
14,2010,1.430113792,-11.60978222
14,2011,2.474755049,-8.843084335
14,2012,3.849113226,-7.159848213
14,2013,4.88292408,-6.652800083
14,2014,3.306788921,-9.810997963
14,2015,6.938472748,0.913860559
14,2016,3.841476917,-2.67461586
14,2017,-1.514500737,-7.110318184
14,2018,7.458386898,-5.174274921
14,2019,6.958025932,-3.826359272
14,2020,5.318863869,-1.65062356
15,2001,-5.551029205,-13.33703136
15,2002,17.5548687,13.94831181
15,2003,1.128491998,-8.535811424
15,2004,4.572332859,-6.907793045
15,2005,3.509349346,-7.155622005
15,2006,7.280963421,1.116933584
15,2007,8.366861343,-5.569617748
15,2008,1.997211456,-5.472894669
15,2009,0.455554157,-12.7540226
15,2010,4.958362579,-4.528997421
15,2011,-1.22449863,-12.39801788
15,2012,3.014447927,-4.108589172
15,2013,4.604808807,-7.572313786
15,2014,3.990219116,-8.27904892
15,2015,8.798624039,-2.285161972
15,2016,6.492492676,-2.818709612
15,2017,0.820545316,-9.800254822
15,2018,9.986757278,1.350921869
15,2019,6.185163021,-4.038960457
15,2020,4.450641155,-2.147012711
16,2001,-3.492198706,-13.17628002
16,2002,14.93501282,5.951327324
16,2003,5.456543922,-6.303952217
16,2004,5.890048027,-3.92763114
16,2005,3.352440596,-3.256295681
16,2006,3.101367712,-0.372005552
16,2007,5.70549202,0.285676241
16,2008,0.479354888,-6.283711433
16,2009,5.573564529,-7.687465191
16,2010,1.897360325,-9.472172737
16,2011,-4.451372147,-13.22721195
16,2012,8.916740417,-4.129044533
16,2013,3.33355093,-5.76044178
16,2014,6.147521973,-6.852519512
16,2015,3.686796665,-0.67993021
16,2016,8.887169838,-1.581179619
16,2017,3.694939852,-8.676959038
16,2018,8.188210487,0.302703828
16,2019,0.970978796,-7.435259342
16,2020,5.128951073,-4.025763512
17,2001,1.502479553,-11.74314117
17,2002,6.982551098,0.795344174
17,2003,11.85898113,-1.503926754
17,2004,2.638251066,-0.873737693
17,2005,6.818828583,-5.603766918
17,2006,8.164838791,-1.935181379
17,2007,7.505120277,-1.536205888
17,2008,-1.035332322,-10.53965282
17,2009,10.11067009,-1.339396954
17,2010,4.491072655,-9.840171814
17,2011,-1.29893291,-13.20390892
17,2012,9.028089523,-1.65807879
17,2013,-0.654366314,-6.514734268
17,2014,6.540943623,-4.764077663
17,2015,3.226737022,-4.602898598
17,2016,5.70465374,0.743981421
17,2017,4.0456357,-7.103170872
17,2018,7.273117542,2.324547291
17,2019,4.173819065,-2.492487192
17,2020,5.534342766,-2.266055584
18,2001,5.959893227,-5.800974369
18,2002,8.389661789,-0.679340065
18,2003,6.220172405,-0.721473575
18,2004,3.533484221,-1.318839431
18,2005,7.575417042,-3.903478861
18,2006,7.213240147,-0.916142106
18,2007,7.817165852,-2.809134483
18,2008,2.091857195,-8.825925827
18,2009,9.144508362,2.362517118
18,2010,8.614835739,-6.996035099
18,2011,0.002320309,-10.46131897
18,2012,7.98940897,-3.389736414
18,2013,2.839594126,-10.05406952
18,2014,4.782833099,-3.808073282
18,2015,5.531826973,-7.248919964
18,2016,2.521586895,-5.787950039
18,2017,6.403755188,-4.233817101
18,2018,7.978323936,0.291392684
18,2019,7.59234333,-4.126484394
18,2020,6.653913975,-4.420652866
19,2001,5.111079216,-3.670250893
19,2002,11.44181442,0.938340724
19,2003,5.119427681,-1.399838924
19,2004,4.507556915,-1.137258172
19,2005,3.819920301,-1.991045237
19,2006,8.965491295,-1.804625273
19,2007,7.242967606,-6.031906128
19,2008,4.327004433,-6.609032154
19,2009,6.623915195,-1.837436557
19,2010,13.04737854,-3.430913687
19,2011,0.752113402,-7.022438049
19,2012,6.62944746,0.993877709
19,2013,5.59676218,-3.149812698
19,2014,4.699633598,-8.459182739
19,2015,7.028583527,-0.137948066
19,2016,-4.485385895,-9.567242622
19,2017,5.87063694,-4.434990883
19,2018,5.205003738,-3.258081675
19,2019,7.846672058,-1.559830904
19,2020,7.402572155,-1.68837893
20,2001,6.406544209,1.277746081
20,2002,8.923071861,1.684636354
20,2003,3.024811983,-3.60629797
20,2004,2.515352964,-3.581186533
20,2005,1.031243086,-4.589962482
20,2006,8.965533257,-0.962085962
20,2007,7.502111912,-3.517720938
20,2008,3.311770678,-0.203776926
20,2009,8.490649223,-1.096264482
20,2010,13.650774,5.870952606
20,2011,-1.136607766,-8.533461571
20,2012,9.891274452,2.550297737
20,2013,9.516363144,-3.796607018
20,2014,6.0057621,-1.690568447
20,2015,7.855728626,-4.68337059
20,2016,-3.807340145,-10.44048214
20,2017,1.489451408,-4.430104256
20,2018,8.143343925,-4.399032116
20,2019,4.036336422,-2.475483179
20,2020,7.726315975,-0.450047016
21,2001,5.861951828,-1.988033652
21,2002,5.756830215,0.329867244
21,2003,3.37308383,-6.031135559
21,2004,-2.981689453,-11.81310749
21,2005,1.803497195,-8.505064011
21,2006,7.546192169,-2.629740477
21,2007,9.90302372,-5.12517643
21,2008,5.035090446,0.762198806
21,2009,8.080649376,-1.55024755
21,2010,6.528635502,-3.330085516
21,2011,-0.183732048,-10.85956383
21,2012,5.351081848,1.866037726
21,2013,7.84385252,3.26398778
21,2014,-0.375712365,-5.000342846
21,2015,6.647812366,0.079312749
21,2016,-1.764681578,-7.90290451
