datetime,temperature,humidity,leafwet
20230512 2300,14.6,77.7,0.7
20230513 0000,14.6,82.3,0.9
20230513 0100,14.2,85.8,1.5
20230513 0200,14.1,87.8,3.8
20230513 0300,13.5,93.2,14.6
20230513 0400,14.4,93.7,14.3
20230513 0500,12.9,95,15
20230513 0600,13.8,95.4,15
20230513 0700,16.2,90.9,1.5
20230513 0800,21.3,67.3,0.7
20230513 0900,22.2,64.7,0.6
20230513 1000,23.4,58.5,0.6
20230513 1100,26.3,51.1,0.6
20230513 1200,27.6,39,0
20230513 1300,28.1,37.9,0
20230513 1400,27.6,38.6,0
20230513 1500,29.3,39.6,0
20230513 1600,26.4,44.7,0
20230513 1700,26.3,39.7,0
20230513 1800,24.1,48.1,0
20230513 1900,20,53,0
20230513 2000,17.3,59.9,0
20230513 2100,15.1,68.4,0.6
20230513 2200,12.4,82.1,1.2
20230513 2300,11.4,85.9,5.5
20230514 0000,10.7,88.8,6.4
20230514 0100,10.1,90.6,13.9
20230514 0200,9.6,93.3,15
20230514 0300,9.3,94.6,15
20230514 0400,8.9,95.4,15
20230514 0500,8.6,96.2,15
20230514 0600,9,96.6,15
20230514 0700,14.2,96,2
20230514 0800,18.5,72.2,0.6
20230514 0900,20.9,63.6,0.6
20230514 1000,23.6,51.7,0.6
20230514 1100,26.3,40.9,0.6
20230514 1200,26.7,36.7,0.6
20230514 1300,27.8,40.2,0
20230514 1400,28.8,29.8,0
20230514 1500,27.9,37,0
20230514 1600,27.1,36.6,0
20230514 1700,27.8,37.2,0
20230514 1800,25.8,34.3,0
20230514 1900,18.6,63.4,0
20230514 2000,16.4,68.2,0.6
20230514 2100,14.2,76.7,0.7
20230514 2200,13.1,78.7,0.8
20230514 2300,11.8,85.7,5.5
20230515 0000,11.1,90.7,10.3
20230515 0100,10.1,92.2,14.4
20230515 0200,9.8,92.1,13.2
20230515 0300,9.5,93,14.2
20230515 0400,9,94,13.8
20230515 0500,8.3,93.9,13.1
20230515 0600,9.3,94.3,10.7
20230515 0700,14.1,88.1,1.1
20230515 0800,19.9,62.5,0.6
20230515 0900,22.3,54.6,0
20230515 1000,25,44.3,0.6
20230515 1100,26.4,38,0
20230515 1200,27.5,41.6,0.6
20230515 1300,28,44.5,0
20230515 1400,28.6,42.5,0
20230515 1500,29,42.2,0
20230515 1600,30,35.3,0
20230515 1700,29.5,36,0
20230515 1800,27.9,46.7,0
20230515 1900,23.7,49.2,0
20230515 2000,19.3,68,0
20230515 2100,17.3,77,0.9
20230515 2200,15.7,84.5,3.4
20230515 2300,15,88.5,10.7
20230516 0000,14.3,91,14.6
20230516 0100,13.9,93.4,15
20230516 0200,13.7,94.7,15
20230516 0300,13.3,95.1,15
20230516 0400,13.2,96,15
20230516 0500,13,96.3,15
20230516 0600,13.3,96.7,15
20230516 0700,15.5,96.1,10.1
20230516 0800,20.9,80.9,0.9
20230516 0900,26,57.5,0.6
20230516 1000,27.7,51.5,0.6
20230516 1100,30.3,45.9,0
20230516 1200,32,40,0
20230516 1300,33,33.1,0
20230516 1400,32.2,32.8,0
20230516 1500,31.4,28.9,0
20230516 1600,30.6,27.2,0
20230516 1700,30.4,23.8,0
20230516 1800,28.9,30.1,0
20230516 1900,21.6,52.2,0
20230516 2000,19.8,56.3,0
20230516 2100,18.2,61.1,0
20230516 2200,16.1,74.4,0.6
20230516 2300,14.2,84.4,2.9
20230517 0000,13.9,86.8,5.1
20230517 0100,13.8,88.8,10.9
20230517 0200,13.1,92,14.4
20230517 0300,12.8,93.2,15
20230517 0400,12.5,94.4,15
20230517 0500,12.2,95,15
20230517 0600,12.8,95.7,15
20230517 0700,17,88.4,1.6
20230517 0800,22.4,71.3,0.7
20230517 0900,25.7,47.8,0.6
20230517 1000,28.8,44.1,0.6
20230517 1100,28.5,41.8,0
20230517 1200,31.9,37,0
20230517 1300,31.6,29.3,0
20230517 1400,31.2,34.8,0
20230517 1500,31.6,32.8,0
20230517 1600,30,40.3,0
20230517 1700,28.7,37.5,0
20230517 1800,27.9,40.8,0.6
20230517 1900,22.9,63.2,0
20230517 2000,19.8,70.7,0.6
20230517 2100,19.3,77.7,0.7
20230517 2200,18.1,83.3,1.8
20230517 2300,17.2,89.8,12.8
20230518 0000,17,91.6,14.7
20230518 0100,16.9,93.8,15
20230518 0200,16.7,94.3,15
20230518 0300,17.1,93.7,14.8
20230518 0400,17.6,93.1,13.6
20230518 0500,18.1,91.4,7.3
20230518 0600,17.8,92.2,13.1
20230518 0700,18.5,91.6,6.1
20230518 0800,19.1,90.8,4.7
20230518 0900,21.4,81.1,0.9
20230518 1000,21.8,61.4,0.6
20230518 1100,22.6,53.1,0
20230518 1200,21.7,57.9,0
20230518 1300,22.5,59.3,0
20230518 1400,22.9,62.5,0.6
20230518 1500,23.2,62.5,0.6
20230518 1600,21.6,69.6,0.6
20230518 1700,20.1,72.5,0.6
20230518 1800,20,73.3,0.6
20230518 1900,18.7,76.7,0.6
20230518 2000,17.7,81,0.8
20230518 2100,17.9,77.8,0.7
20230518 2200,17.5,79.1,0.8
20230518 2300,17.1,80.8,0.8
20230519 0000,16.9,80.9,0.8
20230519 0100,16.7,82,0.9
20230519 0200,16.4,82.5,0.9
20230519 0300,16.6,81.4,0.8
20230519 0400,16.2,83,0.9
20230519 0500,16.6,82.4,0.9
20230519 0600,17.2,79.9,0.8
20230519 0700,19.5,73.1,0.7
20230519 0800,19.7,73.2,0.6
20230519 0900,21.5,68.6,0.6
20230519 1000,22.7,62.5,0.6
20230519 1100,24,59.8,0.6
20230519 1200,23.5,59.5,0
20230519 1300,24.1,58.8,0
20230519 1400,27.6,49.2,0
20230519 1500,26.8,53.5,0
20230519 1600,28.8,46.9,0
20230519 1700,25.7,53.3,0.6
20230519 1800,25.3,56.5,0
20230519 1900,22.2,66.1,0
20230519 2000,18.5,79.9,0.7
20230519 2100,17.1,85.4,2
20230519 2200,16.4,90.1,10
20230519 2300,15.7,91.8,12.4
20230520 0000,15.2,93.1,14.4
20230520 0100,14.4,94,15
20230520 0200,14,94.9,15
20230520 0300,14,95.7,15
20230520 0400,13.3,95.9,15
20230520 0500,13.2,96.7,15
20230520 0600,13.4,97,15
20230520 0700,16.4,94.8,4.3
20230520 0800,21.3,77.1,0.8
20230520 0900,22.9,70.3,0.7
20230520 1000,24.7,65.8,0.6
20230520 1100,25.3,64.3,0.6
20230520 1200,27,57.4,0.6
20230520 1300,28.1,54.4,0
20230520 1400,27.9,53.6,0
20230520 1500,27.8,56.8,0
20230520 1600,27.9,55.5,0.6
20230520 1700,25.4,59.4,0
20230520 1800,24.1,59.8,0
20230520 1900,20.3,77,1.1
20230520 2000,17.6,85.7,4.2
20230520 2100,16.4,90.2,10.7
20230520 2200,16.4,90.5,6.8
20230520 2300,16,90.1,6.2
